libelle_ape;industrie
Fabrication de moteurs, génératrices et transformateurs électriques;Industrie lourde
Fabrication d'autres matériels électriques;Industrie lourde
Fabrication de matériel de distribution et de commande électrique;Industrie lourde
Fabrication de matériel d'installation électrique;Industrie lourde
Fabrication d'autres fils et câbles électroniques ou électriques;Industrie lourde
Fabrication de cartes électroniques assemblées;Industrie lourde
Fabrication de composants électroniques;Industrie lourde
Fabrication d'équipements électriques et électroniques automobiles;Industrie lourde

Fabrication de machines agricoles et forestières;Industrie lourde
Fabrication de machines pour l'extraction ou la construction;Industrie lourde
Fabrication d'autres machines d'usage général;Industrie lourde
Fabrication d'autres machines spécialisées;Industrie lourde
Fabrication d'équipements hydrauliques et pneumatiques;Industrie lourde
Fabrication d'équipements aérauliques et frigorifiques industriels;Industrie lourde
Fabrication d'équipements d'aide à la navigation;Industrie lourde

Fabrication de structures métalliques et de parties de structures;Industrie lourde
Fabrication de réservoirs, citernes et conteneurs métalliques;Industrie lourde
Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier;Industrie lourde
Fabrication de serrures et de ferrures;Industrie lourde
Fabrication de vis et de boulons;Industrie lourde
Fabrication d'engrenages et d'organes mécaniques de transmission;Industrie lourde
Fabrication d'autres articles métalliques;Industrie lourde
Fabrication d'articles en fils métalliques, de chaînes et de ressorts;Industrie lourde
Fabrication d'emballages métalliques légers;Industrie lourde
Fabrication d'isolateurs et pièces isolantes en céramique;Industrie lourde
Fabrication d'ouvrages en fibre-ciment;Industrie lourde

Fabrication de caoutchouc synthétique;Industrie lourde
Fabrication d'autres articles en caoutchouc;Industrie lourde
Fabrication et rechapage de pneumatiques;Industrie lourde

Fabrication de matières plastiques de base;Hydrogène
Fabrication de produits de consommation courante en matières plastiques;Industrie lourde
Fabrication de plaques, feuilles, tubes et profilés en matières plastiques;Industrie lourde
Fabrication de pièces techniques à base de matières plastiques;Industrie lourde
Fabrication d'emballages en matières plastiques;Industrie lourde

Travaux de maçonnerie générale et gros œuvre de bâtiment;Autres
Travaux de terrassement spécialisés ou de grande masse;Autres
Travaux d'installation d'équipements thermiques et de climatisation;Autres

Activités des sièges sociaux;Autres
Activités des sociétés holding;Autres
Activités combinées de soutien lié aux bâtiments;Autres
Activités spécialisées, scientifiques et techniques diverses;Autres
Activités de conditionnement;Autres
Services administratifs combinés de bureau;Autres
Conseil pour les affaires et autres conseils de gestion;Autres
Services auxiliaires des transports aériens;Autres
Traitement de données, hébergement et activités connexes;Autres
Autres activités de soutien aux entreprises n.c.a.;Autres
Autres activités manufacturières n.c.a.;Autres
Autre imprimerie (labeur);Autres
Autres activités de nettoyage des bâtiments et nettoyage industriel;Autres
Autres activités de nettoyage n.c.a.;Autres
Autres organisations fonctionnant par adhésion volontaire;Autres
Autres services d'information n.c.a.;Autres
Blanchisserie-teinturerie de gros;Autres

Administration publique générale;Autres
Administration publique (tutelle) des activités économiques;Autres
Activités d'ordre public et de sécurité;Autres
Défense;Autres
Activités des syndicats de salariés;Autres

Entreposage et stockage frigorifique;Autres
Entreposage et stockage non frigorifique;Autres
Location de terrains et d'autres biens immobiliers;Autres
Location et location-bail d'autres biens personnels et domestiques;Autres
Location et location-bail de machines et équipements agricoles;Autres
Transport ferroviaire interurbain de voyageurs;Autres
Analyses, essais et inspections techniques;Autres
Gestion des jardins botaniques et zoologiques et des réserves naturelles;Autres
Sciage et rabotage du bois, hors imprégnation;Autres
Fabrication d'objets divers en bois , fabrication d'objets en liège, vannerie et sparterie;Autres

Tissage;Autres
Préparation de fibres textiles et filature;Autres
Ennoblissement textile;Autres
Fabrication d'autres textiles n.c.a.;Autres
Fabrication d'autres textiles techniques et industriels;Autres
Fabrication de non-tissés, sauf habillement;Autres
Fabrication de vêtements de dessous;Autres
Fabrication de tapis et moquettes;Autres
Fabrication d'articles textiles, sauf habillement;Autres

Fabrication d'appareils électroménagers;Industrie lourde
Fabrication de matériel d'installation électrique;Industrie lourde
Fabrication de piles et d'accumulateurs électriques;Industrie lourde

Production de boissons alcooliques distillées;Agroalimentaire
Production de sel;Industrie lourde

Industrie des eaux de table;Agroalimentaire
Vinification;Agroalimentaire
Fabrication de cidre et de vins de fruits;Agroalimentaire
