identifiant,nom_etablissement,numero_siret,adresse,code_postal,commune,departement,region,coordonnees_x,coordonnees_y,code_epsg,code_ape,libelle_ape,libelle_eprtr,prelevements_eaux_souterraines,prelevements_eaux_surface,prelevements_reseau_distribution,somme_prelevements_(m3),Somme_de_rejet_raccorde_m3_par_an,Somme_de_rejet_isole_m3_par_an,Somme_des_rejets_(m3)
5100378,ANODEL,38506742600010,49 RUE DE GUISE,2500,HIRSON,AISNE,HAUTS-DE-FRANCE,4.076280,49.919590,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,,  23 262 ,  23 262 
5701247,CLAS GALVAPLAST,38368016200013,9 RUE DE LA FONTAINE,52320,FRONCLES,HAUTE-MARNE,GRAND-EST,5.144680,48.299900,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,,  23 011 ,  23 011 
6506328,GALVANOPLAST PARIS,82912901400025,23 AVENUE DU CHEMIN DES RENIERS,92390,VILLENEUVE-LA-GARENNE,HAUTS-DE-SEINE,ILE-DE-FRANCE,2.322820,48.932060,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,  16 581 ,,,  16 581 ,  22 705 ,,  22 705 
6304998,THERMOLAQUAGE DE VENDEE,49226556600025,LIEU-DIT LES LANDES DU CORMIER ZONE D'ACTIVITES LA PROMENADE,85250,CHAVAGNES-EN-PAILLERS,VENDEE,PAYS-DE-LA-LOIRE,-1.240470,46.914540,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,,  22 037 ,  22 037 
6104578,SOC CAUX  TRAITEMENT DE SURFACE,60692042900010,5 RUE DU DOC GALLET ZI DES GRANDS PRES,74300,CLUSES,HAUTE-SAVOIE,AUVERGNE-RHONE-ALPES,6.567600,46.074330,4326,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,  24 571 ,,,  24 571 ,,  19 646 ,  19 646 
6000356,FINI METAUX,31053045600014,54 RUE LEONARD SAMIE,87000,LIMOGES,HAUTE-VIENNE,NOUVELLE-AQUITAINE,1.273110,45.802760,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,,  18 619 ,  18 619 
5701501,GALVANOPLAST REIMS,49808761800019,LE MOULIN DE L ECAILLE ZONE INDUSTRIELLE,51430,TINQUEUX,MARNE,GRAND-EST,3.983350,49.238970,4326,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,,  18 494 ,  18 494 
5901000,COMTOISE TRAITEMENT DE SURFACE,64685036200013,11 rue des frres Lumire,39200,SAINT-CLAUDE,JURA,BOURGOGNE-FRANCHE-COMTE,5.827900,46.383300,27572,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,,  18 483 ,  18 483 
6104027,TECHNIQUES SURFACES REW,45099115300047,6 BOULEVARD MONGE,69330,MEYZIEU,RHONE,AUVERGNE-RHONE-ALPES,5.026900,45.766470,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,  18 130 ,,  18 130 
6702681,TECHNIQUES SURFACES REW,45099115300021,7 RUE ROBERT MINDER PAEC DES COTEAUX DE LA MOS,67310,WASSELONNE,BAS-RHIN,GRAND-EST,7.435550,48.646200,2154,2561Z,Traitement et revêtement des métaux,,,,,,  18 130 ,,  18 130 
