identifiant,nom_etablissement,numero_siret,adresse,code_postal,commune,departement,region,coordonnees_x,coordonnees_y,code_epsg,code_ape,libelle_ape,libelle_eprtr,prelevements_eaux_souterraines,prelevements_eaux_surface,prelevements_reseau_distribution,somme_prelevements_(m3),Somme_de_rejet_raccorde_m3_par_an,Somme_de_rejet_isole_m3_par_an,Somme_des_rejets_(m3)
6700164,DYCKERHOFF GRAVIERES ET SABLIERES SELTZ,60850166400015,8 rue BORD DU RHIN 8 rue annexe du rhin,67470,SELTZ,BAS-RHIN,GRAND-EST,8.127460,48.897620,2154,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",Extraction à  ciel ouvert et exploitation en carrière lorsque la surperficie du site oà¹ sont effectuées des opérations d'extraction est égale à  25 hectares,  974 154 ,,,  974 154 ,,  915 705 ,  915 705 
5301349,PIGEON GRANULATS NORMANDIE,32787748600115,ROUTE DE CAROLLES LD COSNICAT,50610,JULLOUVILLE,MANCHE,NORMANDIE,-1.518680,48.778110,27572,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,,  401 081 ,,  401 081 ,,  847 262 ,  847 262 
5301373,PIGEON GRANULATS NORMANDIE,32787748600107,LIEU-DIT TERMONT,50730,SAINT-BRICE-DE-LANDELLES,MANCHE,NORMANDIE,-1.115330,48.562010,27572,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,,  103 897 ,,  103 897 ,,  847 262 ,  847 262 
5301385,PIGEON GRANULATS NORMANDIE,32787748600016,2  rue Palorette,50300,SAINT-SENIER-SOUS-AVRANCHES,MANCHE,NORMANDIE,-1.337480,48.691480,27572,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,,  202 944 ,,  202 944 ,,  847 262 ,  847 262 
5502698,PIGEON GRANULATS NORMANDIE,32787748600016,lieu dit Pan,35120,BAGUER-PICAN,ILLE-ET-VILAINE,BRETAGNE,-1.695960,48.570470,27572,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",Extraction à  ciel ouvert et exploitation en carrière lorsque la surperficie du site oà¹ sont effectuées des opérations d'extraction est égale à  25 hectares,,  139 340 ,,  139 340 ,,  847 262 ,  847 262 
5300048,PIGEON GRANULATS NORMANDIE,32787748600149,route des sables Le haut-lieu,14400,VAUX-SUR-SEULLES,CALVADOS,NORMANDIE,-0.654220,49.268380,27572,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",Extraction à  ciel ouvert et exploitation en carrière lorsque la surperficie du site oà¹ sont effectuées des opérations d'extraction est égale à  25 hectares,  46 918 ,,,  46 918 ,,  847 262 ,  847 262 
5300074,SOC DES CARRIERES DE VIGNATS,42109230500026,28A  Impasse du gu aux chvres,61160,BRIEUX,ORNE,NORMANDIE,-0.095340,48.844400,2154,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",Extraction à  ciel ouvert et exploitation en carrière lorsque la surperficie du site oà¹ sont effectuées des opérations d'extraction est égale à  25 hectares,  47 720 ,,,  47 720 ,,  668 304 ,  668 304 
7000052,CARRIERES D HOUDAIN,44582100200018,18 LIEU-DIT TROU SARAZIN,59570,HOUDAIN-LEZ-BAVAY,NORD,HAUTS-DE-FRANCE,3.779570,50.324100,2154,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",Extraction à  ciel ouvert et exploitation en carrière lorsque la surperficie du site oà¹ sont effectuées des opérations d'extraction est égale à  25 hectares,  620 700 ,,,  620 700 ,,  620 700 ,  620 700 
6700044,BALLASTIERES HELMBACHER,58850052000014,ROUTE DU RHIN,67114,ESCHAU,BAS-RHIN,GRAND-EST,7.727010,48.495480,2154,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,  677 698 ,,,  677 698 ,,  618 712 ,  618 712 
3101970,IMERYS CLERAC,32009111900018,Lieu dit Sarrazin,17360,SAINT-MARTIN-DE-COUX,CHARENTE-MARITIME,NOUVELLE-AQUITAINE,-0.124560,45.141070,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",Extraction à  ciel ouvert et exploitation en carrière lorsque la surperficie du site oà¹ sont effectuées des opérations d'extraction est égale à  25 hectares,,,,,,  603 490 ,  603 490 
7201820,IMERYS CLERAC,32009111900018,1  LA GARE,17270,CLERAC,CHARENTE-MARITIME,NOUVELLE-AQUITAINE,-0.222980,45.190570,2154,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,,,,,,  603 490 ,  603 490 
7205729,IMERYS CLERAC,32009111900018,lieu dit Le Planton,17210,MONTLIEU-LA-GARDE,CHARENTE-MARITIME,NOUVELLE-AQUITAINE,-0.283190,45.208330,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,,,,,,  603 490 ,  603 490 
7205956,IMERYS CLERAC,32009111900018,Bois des Rentes,17210,CHEVANCEAUX,CHARENTE-MARITIME,NOUVELLE-AQUITAINE,-0.192190,45.295670,2154,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",Extraction à  ciel ouvert et exploitation en carrière lorsque la surperficie du site oà¹ sont effectuées des opérations d'extraction est égale à  25 hectares,,,,,,  603 490 ,  603 490 
7000703,SOC D'EXPLOITATION CARRIERES BELLIGNIES,69201255200026,CD 224,59570,BELLIGNIES,NORD,HAUTS-DE-FRANCE,3.752910,50.328190,2154,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",Extraction à  ciel ouvert et exploitation en carrière lorsque la surperficie du site oà¹ sont effectuées des opérations d'extraction est égale à  25 hectares,  621 384 ,,,  621 384 ,,  583 435 ,  583 435 
6300757,SEDEP,39322714500033,LES BONOTTIERES BELLEVUE,85190,BEAULIEU-SOUS-LA-ROCHE,VENDEE,PAYS-DE-LA-LOIRE,-1.642280,46.675700,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,,,,,,  570 485 ,  570 485 
5904207,CARRIERES & MATERIAUX NORD-EST,42118530700079,RD13 Lieu-dit Creux de Leu,25320,OSSELLE,DOUBS,BOURGOGNE-FRANCHE-COMTE,5.855330,47.138110,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,,  118 745 ,,  118 745 ,,  553 270 ,  553 270 
5704457,CARRIERES & MATERIAUX NORD-EST,42118530700087,Lieu dit les ptures pilles,51240,SAINT-MARTIN-AUX-CHAMPS,MARNE,GRAND-EST,4.494920,48.829820,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,  16 400 ,,,  16 400 ,,  553 270 ,  553 270 
5700716,CARRIERES & MATERIAUX NORD-EST,42118530700087,Chemin de Matignicourt,51300,MATIGNICOURT-GONCOURT,MARNE,GRAND-EST,4.658520,48.680760,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,  18 720 ,,,  18 720 ,,  553 270 ,  553 270 
5700356,CARRIERES & MATERIAUX NORD-EST,42118530700087,PAMPLEINE et LES USAGES,10400,PERIGNY-LA-ROSE,AUBE,GRAND-EST,3.627920,48.535940,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,  20 880 ,,,  20 880 ,,  553 270 ,  553 270 
5700388,CARRIERES & MATERIAUX NORD-EST,42118530700087,RD440 Route de Saint Just Sauvage Saint Eloi,10100,ROMILLY-SUR-SEINE,AUBE,GRAND-EST,3.733860,48.531660,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,  33 840 ,,,  33 840 ,,  553 270 ,  553 270 
3012489,CARRIERES & MATERIAUX NORD-EST,42118530700087,"Lieudit ""le Champ Doyen""",51150,JALONS,MARNE,GRAND-EST,4.166640,49.024870,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,  181 275 ,,,  181 275 ,,  553 270 ,  553 270 
6700118,CARRIERES & MATERIAUX NORD-EST,42118530700111,RD 468,67150,NORDHOUSE,BAS-RHIN,GRAND-EST,7.713920,48.447090,4326,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",Extraction à  ciel ouvert et exploitation en carrière lorsque la surperficie du site oà¹ sont effectuées des opérations d'extraction est égale à  25 hectares,  296 306 ,,,  296 306 ,,  553 270 ,  553 270 
